Home_Team;Home_Away;Home_Min;Home_PK;Home_PKatt;Home_Sh;Home_SoT;Home_CrdY;Home_CrdR;Home_Touches;Home_Tkl;Home_Int;Home_Blocks;Home_SCA_SCA;Home_GCA_SCA;Home_Cmp_Passes;Home_Att_Passes;Home_Cmp_percent_Passes;Home_PrgP_Passes;Home_Carries_Carries;Home_PrgC_Carries;Home_Att_Take_Ons;Home_Succ_Take_Ons;Win
Internacional;1;990;0;0;21;4;0;0;820;17;19;9;38;1;588;710;828;63;547;30;11;8;1
Avaí;1;990;1;1;13;3;5;0;500;21;6;10;23;1;278;374;743;25;236;13;9;5;1
Flamengo;1;990;0;0;17;4;0;0;700;14;6;17;24;3;516;584;884;48;442;21;28;15;1
Ceará;1;990;0;0;18;7;1;0;553;18;9;6;28;2;374;468;799;42;304;16;5;4;1
Atlético Goianiense;1;990;0;0;15;3;1;0;720;15;10;12;24;0;518;615;842;43;510;29;15;10;0
Botafogo (RJ);1;990;0;0;14;2;4;0;384;6;11;12;25;0;216;294;735;23;222;16;22;10;0
América (MG);1;990;0;0;25;4;3;0;673;13;13;12;47;0;460;553;832;66;361;28;39;16;0
Palmeiras;1;990;0;0;16;8;3;0;655;17;9;12;24;1;447;554;807;50;455;23;18;6;1
Ceará;1;990;0;0;14;5;0;0;529;27;10;12;26;2;315;412;765;44;294;21;19;8;1
Bragantino;1;990;0;0;14;7;4;0;567;16;11;15;27;4;352;461;764;30;374;10;17;9;1
Goiás;1;990;0;0;15;5;2;0;379;24;15;10;21;4;171;250;684;18;155;15;14;7;0
Athletico Paranaense;1;990;0;0;15;9;3;0;524;17;17;9;23;8;327;418;782;37;324;16;10;6;1
Flamengo;1;990;0;0;27;11;3;0;695;19;10;6;45;8;523;586;892;74;428;18;20;7;1
Santos;1;990;0;0;16;7;2;0;456;15;13;17;30;2;244;335;728;27;231;20;22;13;1
Corinthians;1;990;0;0;19;6;1;0;717;9;4;5;35;4;550;638;862;72;441;33;20;13;1
América (MG);1;990;0;0;15;3;4;0;556;10;11;11;26;0;332;437;76;36;301;26;16;7;0
Botafogo (RJ);1;990;0;0;17;6;0;0;646;16;11;6;31;3;437;529;826;37;391;17;20;12;1
Avaí;1;990;0;0;13;4;1;0;481;24;8;14;24;2;287;371;774;36;234;20;21;9;0
Palmeiras;1;990;0;0;18;9;0;0;556;14;18;10;31;4;348;435;80;48;313;16;15;2;1
Juventude;1;990;0;0;13;7;1;0;472;12;9;7;24;2;292;383;762;26;244;13;9;2;1
Fluminense;1;989;0;0;24;7;5;1;686;10;5;11;45;4;466;575;81;41;424;22;20;8;1
Atlético Mineiro;1;990;0;0;14;6;2;0;653;13;12;15;23;2;459;564;814;39;360;12;15;8;0
Atlético Goianiense;1;990;0;0;23;6;0;0;749;11;13;11;41;0;499;625;798;67;464;32;39;26;0
Coritiba;1;987;0;0;4;2;6;1;518;21;16;8;7;2;296;403;734;26;279;5;15;7;1
América (MG);1;990;1;1;21;8;3;0;535;10;9;18;42;8;332;417;796;45;318;17;14;7;1
Corinthians;1;990;0;0;14;4;1;0;746;18;10;13;20;5;544;636;855;38;430;17;22;12;1
Cuiabá;1;990;0;0;5;1;2;0;473;18;9;10;6;0;268;367;73;30;284;16;14;6;0
Santos;1;990;0;0;15;7;2;0;441;24;13;17;20;0;239;315;759;31;213;20;14;9;1
Flamengo;1;990;0;0;19;8;2;0;533;18;13;4;34;5;383;447;857;54;360;16;11;10;1
Internacional;1;990;0;0;18;5;5;0;619;8;14;10;28;4;419;518;809;49;400;13;18;9;1
Athletico Paranaense;1;990;0;0;12;3;2;0;571;14;9;12;21;0;364;453;804;33;297;17;18;10;0
Bragantino;1;990;0;0;18;8;1;0;653;16;17;10;26;7;451;542;832;54;472;15;14;10;1
Ceará;1;989;0;0;18;4;1;1;640;15;10;8;32;2;416;524;794;48;336;16;27;10;0
Ceará;1;949;1;1;11;6;3;1;457;14;3;7;19;2;291;376;774;31;254;13;15;10;0
Goiás;1;990;0;0;18;4;1;0;525;17;4;9;27;1;302;397;761;41;282;21;22;13;1
Corinthians;1;990;0;0;16;4;0;0;667;26;14;9;24;2;407;530;768;30;351;18;16;7;1
Flamengo;1;990;1;1;15;5;0;0;614;24;17;8;28;8;423;503;841;56;399;23;31;22;1
Internacional;1;990;0;0;9;3;1;0;428;29;9;14;16;6;216;306;706;14;144;12;19;14;1
Athletico Paranaense;1;990;1;2;8;2;3;0;431;12;9;10;17;2;249;343;726;29;237;14;16;7;1
Cuiabá;1;990;0;0;19;5;2;0;596;19;9;14;33;0;372;482;772;53;343;17;21;9;0
América (MG);1;990;0;0;18;6;1;0;537;13;9;10;34;6;324;427;759;51;292;28;32;13;1
Bragantino;1;990;0;0;23;5;1;0;627;12;9;11;41;2;407;508;801;57;431;20;24;14;1
Juventude;1;990;0;0;15;3;1;0;683;15;9;8;25;0;453;575;788;56;309;21;23;11;0
Atlético Goianiense;1;990;0;0;11;4;1;0;503;9;7;8;20;4;293;378;775;28;241;14;18;12;1
São Paulo;1;990;0;0;13;5;2;0;649;15;10;10;23;0;443;548;808;60;349;9;17;10;0
Palmeiras;1;990;1;1;18;7;2;0;618;22;10;7;30;5;402;487;825;43;376;32;22;8;1
Fluminense;1;990;0;0;11;5;2;0;719;15;7;16;20;2;532;617;862;37;501;16;30;12;1
Fortaleza;1;929;0;0;16;7;1;1;418;27;6;11;28;5;217;297;731;28;211;16;30;13;1
Atlético Mineiro;1;990;0;0;21;8;1;0;657;17;10;11;38;3;466;550;847;51;417;28;24;13;0
Coritiba;1;990;0;0;15;2;3;0;578;14;9;13;28;2;378;473;799;40;335;18;11;5;0
Corinthians;1;990;0;0;14;4;2;0;626;18;11;4;27;0;428;535;80;50;383;15;16;11;0
Cuiabá;1;990;0;0;13;4;4;0;476;8;13;1;22;1;303;397;763;33;322;10;11;6;1
Coritiba;1;990;0;0;7;2;3;0;523;16;12;8;14;0;305;404;755;25;308;9;22;9;0
Flamengo;1;990;0;0;19;13;3;0;704;7;10;10;36;10;547;620;882;56;482;19;28;23;1
